12-031: banquet
12-033: refreshment
12-035: snack
12-037: appetizer
12-039: cuisine
12-041: menu
12-043: order
12-045: takeaway
12-047: chef
12-049: gourmet
12-051: vegetarian
12-053: cutlery
12-055: silver
12-057: ceramic
12-059: porcelain
12-061: bowl
12-063: dish
12-065: saucer
12-067: tray
12-069: fork
12-071: knife
12-073: spoon
12-075: glass
12-077: mug
12-079: kettle
12-081: pan
12-083: pot
12-085: stove
12-087: furnace
12-089: oven
12-091: tin
12-093: lid
12-095: drink
12-097: beverage
12-099: juice
12-101: soda
12-103: coffee
12-105: alcohol
12-107: liquor
12-109: whiskey
